,riding,Ave_Age_All,Ave_Age_Male,Ave_Age_Female,bike_rate,pop,NoPostsecondary_all,NoPostsecondary_male,NoPostsecondary_female,french,HouseNeed,income_all,income_male,income_female,unemploy_all,unemploy_male,unemploy_female,Constituency,Province / Territory,First Name,Last Name,Political Affiliation
203,Peterborough,44.9,43.7,46,1,128345,45.5,48.6,42.8,1,4.5,38800,42800,35600,13.2,12.3,14.2,Peterborough,Ontario,Emma,Harrison,Liberal
204,Pickering--Brooklin,40,39,40.9,0.3,122435,39.7,40.3,39.1,1.1,6.9,46800,53200,42000,12.4,11.8,13,Pickering—Brooklin,Ontario,Juanita,Nathan,Liberal
93,Pierre-Boucher--Les Patriotes--Verchères,42.4,41.6,43.2,0.9,103020,34.3,35.2,33.4,91.9,1.3,50400,58000,44000,4.9,4.9,5,Pierre-Boucher—Les Patriotes—Verchères,Quebec,Xavier,Barsalou-Duval,Bloc Québécois
94,Pierrefonds--Dollard,42.1,41.1,43.1,0.5,109500,36.9,38.1,35.9,22.9,2.4,39200,42400,36400,9.8,10.1,9.4,Pierrefonds—Dollard,Quebec,Sameer,Zuberi,Liberal
332,Pitt Meadows--Maple Ridge,41.1,40.1,42.1,0.5,116915,47.3,48.2,46.4,1,8.1,44800,55600,38000,6.6,6.3,7,Pitt Meadows—Maple Ridge,British Columbia,Marc,Dalton,Conservative
303,Ponoka--Didsbury,40.8,40.1,41.5,0.4,114535,50.2,51.1,49.3,1,4.9,42000,53200,34800,11.1,11.4,10.7,Ponoka—Didsbury,Alberta,Blaine,Calkins,Conservative
95,Pontiac--Kitigan Zibi,40.3,40.1,40.4,0.7,111140,40.2,43.2,37.3,61.5,4,47200,49600,45200,7.9,8.4,7.4,Pontiac—Kitigan Zibi,Quebec,Sophie,Chatel,Liberal
333,Port Moody--Coquitlam,41.7,40.9,42.4,0.4,115260,37,37.2,36.8,0.9,8.4,44000,52000,38400,8.4,8.1,8.9,Port Moody—Coquitlam,British Columbia,Zoe,Royer,Liberal
245,Portage--Lisgar,37.8,36.9,38.7,1.3,94835,58.2,61.1,55.2,2.8,3.1,38800,46800,32000,5.3,4.6,6.2,Portage—Lisgar,Manitoba,Branden,Leslie,Conservative
96,Portneuf--Jacques-Cartier,42.2,41.8,42.7,0.6,106610,35.8,36.8,34.7,95.9,1.5,47600,54400,41200,5.1,5,5.3,Portneuf—Jacques-Cartier,Quebec,Joël,Godin,Conservative
205,Prescott--Russell--Cumberland,43,42.3,43.6,0.4,109125,46.2,48.1,44.4,55.6,2.7,48400,54000,43200,6.5,5.8,7.2,Prescott—Russell—Cumberland,Ontario,Giovanna,Mingarelli,Liberal
260,Prince Albert,40.3,39.3,41.2,0.4,88520,55.3,59.7,51.1,1.8,5.5,39600,42800,37200,9.5,10.3,8.6,Prince Albert,Saskatchewan,Randy,Hoback,Conservative
334,Prince George--Peace River--Northern Rockies,39.1,38.7,39.6,0.6,116970,54.7,54.4,55,1.1,4,45600,59200,36800,9.4,10.1,8.5,Prince George—Peace River—Northern Rockies,British Columbia,Bob,Zimmer,Conservative
246,Provencher,37,36.6,37.4,0.7,100320,57,59.4,54.5,8.2,4.7,40000,48800,32400,6.4,5.7,7.2,Provencher,Manitoba,Ted,Falk,Conservative
97,Québec Centre,45.9,44.1,47.7,3.1,103980,30.4,30.3,30.5,88.6,2,41200,44000,38800,8.8,9,8.6,Québec Centre,Quebec,Jean-Yves,Duclos,Liberal
304,Red Deer,39.6,38.7,40.5,0.6,114975,48.4,51.2,45.7,1.1,4,43200,50800,37600,11.9,12.3,11.4,Red Deer,Alberta,Burton,Bailey,Conservative
261,Regina--Lewvan,38.6,37.5,39.6,0.6,86900,40.8,42.5,39.3,1,2.8,50400,56000,46000,8.8,9.3,8.2,Regina—Lewvan,Saskatchewan,Warren,Steinley,Conservative
262,Regina--Qu'Appelle,39.2,38.5,39.9,0.5,89275,54.7,57.1,52.3,0.6,6.5,42000,46000,39200,9.9,10.3,9.5,Regina—Qu'Appelle,Saskatchewan,Andrew,Scheer,Conservative
263,Regina--Wascana,39.9,38.6,41.1,0.6,89065,42.8,44.5,41.1,1.2,4.1,45600,50400,42000,10,10.3,9.6,Regina—Wascana,Saskatchewan,Michael,Kram,Conservative
98,Repentigny,42.6,41.6,43.7,0.7,111525,41.4,41.4,41.4,87.6,2,44800,50800,39600,5.9,5.9,6,Repentigny,Quebec,Patrick,Bonin,Bloc Québécois
99,Richmond--Arthabaska,44.7,43.7,45.8,0.8,110650,45.4,46.5,44.3,94.4,0.7,38000,42000,34000,4.8,4.6,4.9,Richmond Centre—Marpole,British Columbia,Chak,Au,Conservative
335,Richmond Centre--Marpole,43.3,42.2,44.3,1.5,116380,38,38.1,37.9,0.6,18.5,33200,36000,31000,10.9,10,11.8,Richmond East—Steveston,British Columbia,Parm,Bains,Liberal
336,Richmond East--Steveston,43.2,42.1,44.3,1.2,116140,41.9,42.1,41.6,0.5,14.2,35600,39200,33200,10.6,10,11.3,Richmond Hill South,Ontario,Vincent,Ho,Conservative
206,Richmond Hill South,43.9,42.7,45,0.3,124745,34.6,34.1,35.1,0.5,14.1,35600,38800,33200,13.3,12.3,14.3,Richmond—Arthabaska,Quebec,Eric,Lefebvre,Conservative
247,Riding Mountain,41.1,40.2,41.9,0.5,90965,59.9,63.8,56.1,1.5,6.4,35200,39200,32800,6.6,7.1,6,Riding Mountain,Manitoba,Dan,Mazier,Conservative
100,Rimouski--La Matapédia,46.3,45.4,47.2,0.8,102020,41.3,42.6,40,97.9,2.9,37600,41200,34400,7.8,8.4,7.2,Rimouski—La Matapédia,Quebec,Maxime,Blanchette-Joncas,Bloc Québécois
101,Rivière-des-Mille-Îles,41.9,40.8,43,0.6,104960,40.6,41.4,39.7,77.6,1.9,44000,49600,38800,6.4,6.6,6.2,Rivière-des-Mille-Îles,Quebec,Linda,Lapointe,Liberal
102,Rivière-du-Nord,42.6,41.5,43.6,0.4,113515,47.2,48.1,46.3,92.8,2.6,39200,44800,34400,6.7,6.4,7.1,Rivière-du-Nord,Quebec,Rhéal Éloi,Fortin,Bloc Québécois
103,Rosemont--La Petite-Patrie,39.9,38.9,40.9,10.2,112910,26.1,28,24.3,74.2,2.9,41600,42800,40400,8.3,9,7.6,Rosemont—La Petite-Patrie,Quebec,Alexandre,Boulerice,NDP
337,Saanich--Gulf Islands,48.6,47.5,49.7,3.5,122150,37.1,37.4,36.9,1.2,5.1,44400,50400,40000,6.3,6.2,6.3,Saanich—Gulf Islands,British Columbia,Elizabeth,May,Green Party
24,Sackville--Bedford--Preston,41.2,40.4,42,0.1,99095,38.8,41.3,36.5,2.3,4.6,45600,54000,39600,10,8.9,11.2,Sackville—Bedford—Preston,Nova Scotia,Braedon,Clark,Liberal
104,Saint John--Kennebecasis,42.6,41.5,43.8,0.2,81920,45.3,45.2,45.3,3.7,2.8,39200,43600,36000,10,11.1,8.9,Saint John—Kennebecasis,New Brunswick,Wayne,Long,Liberal
105,Saint John--St. Croix,44.5,43.6,45.4,0.2,80190,50.8,52.8,48.9,3.6,4.3,39200,45600,34000,9.8,11,8.4,Saint John—St. Croix,New Brunswick,John,Williamson,Conservative
106,Saint-Hyacinthe--Bagot--Acton,43.5,42.5,44.6,1,105085,48.7,50.3,47.1,93.6,1.2,39600,44000,35600,5.6,5.4,5.8,Saint-Hyacinthe—Bagot—Acton,Quebec,Simon-Pierre,Savard-Tremblay,Bloc Québécois
107,Saint-Jean,42.8,41.9,43.8,0.8,114615,44.5,46.3,42.6,92.6,1.7,42400,47200,38000,5.6,5.7,5.5,Saint-Jean,Quebec,Christine,Normandin,Bloc Québécois
108,Saint-Laurent,39.5,38.2,40.8,0.8,108765,35.2,34.5,35.8,25.3,4.1,35200,36800,33600,11.6,11.5,11.7,Saint-Laurent,Quebec,Emmanuella,Lambropoulos,Liberal
35,Saint-Léonard--Saint-Michel,40.7,39.4,41.8,0.5,112905,48.3,48.3,48.4,30.9,4.7,32800,34400,31200,11.8,11.8,12,Saint-Léonard—Saint-Michel,Quebec,Patricia,Lattanzio,Liberal
36,Saint-Maurice--Champlain,47.2,46.4,47.9,0.4,111995,45.1,44.1,46,93.9,1,37200,42000,32000,6.7,7.3,6,Saint-Maurice—Champlain,Quebec,François-Philippe,Champagne,Liberal
207,Sarnia--Lambton--Bkejwanong,44.7,43.7,45.7,0.7,128155,45.1,44.6,45.6,1.6,3.4,42400,52400,35200,11.2,9.9,12.5,Sarnia—Lambton—Bkejwanong,Ontario,Marilyn,Gladu,Conservative
265,Saskatoon South,40.2,38.6,41.8,1.2,89565,38.1,40.6,35.8,1.3,4,45600,52400,40800,8.2,8.1,8.3,Saskatoon South,Saskatchewan,Kevin,Waugh,Conservative
264,Saskatoon West,37.7,36.8,38.6,1.1,87870,51.8,54.9,48.7,0.9,4.9,39200,42800,36000,9.9,10.1,9.6,Saskatoon West,Saskatchewan,Brad,Redekopp,Conservative
266,Saskatoon--University,38.3,37.2,39.4,1.7,88715,38,41.2,34.9,1.2,4,45600,52000,41200,8.2,8.6,7.7,Saskatoon—University,Saskatchewan,Corey,Tochor,Conservative
208,Sault Ste. Marie--Algoma,46.4,45.4,47.4,0.8,113770,48.7,48.5,48.8,5.2,4.8,39200,44400,34400,12.9,13,12.8,Sault Ste. Marie—Algoma,Ontario,Terry,Sheehan,Liberal
209,Scarborough--Agincourt,44.6,42.9,46.2,0.5,123975,43.6,43,44.1,0.7,17.7,32000,33600,31000,16.2,15.5,16.9,Scarborough Centre—Don Valley East,Ontario,Salma,Zahid,Liberal
211,Scarborough--Guildwood--Rouge Park,42.1,40.9,43.3,0.2,114250,42.8,43.6,42.1,0.9,7.9,37600,39200,36800,14.9,14.1,15.8,Scarborough North,Ontario,Shaun,Chen,Liberal
214,Scarborough--Woburn,40.3,38.9,41.6,0.2,110800,46.2,46.3,46,0.8,13.1,32800,34800,31400,16.2,14.7,17.7,Scarborough Southwest,Ontario,Bill,Blair,Liberal
210,Scarborough Centre--Don Valley East,41.8,40.3,43.2,0.5,111375,44.3,45.8,42.9,1.1,11.7,35200,36800,34000,15.7,14.2,17.2,Scarborough—Agincourt,Ontario,Jean,Yip,Liberal
212,Scarborough North,42.9,41.6,44,0.4,116180,50.7,51.4,50,0.4,15.4,30800,31400,30400,17,16.4,17.5,Scarborough—Guildwood—Rouge Park,Ontario,Gary,Anandasangaree,Liberal
213,Scarborough Southwest,41,39.9,42.1,0.5,122870,44.6,46,43.2,1,10.2,35200,36400,34800,16.5,15.8,17.3,Scarborough—Woburn,Ontario,Michael,Coteau,Liberal
249,Selkirk--Interlake--Eastman,44.4,43.8,45.1,0.6,98615,54.3,56.7,51.8,2.1,6.6,40800,47600,34800,8,8.2,7.8,Selkirk—Interlake—Eastman,Manitoba,James,Bezan,Conservative
109,Shefford,44.1,43.1,45.1,0.9,115920,49,49.6,48.4,92.3,0.9,39600,44000,35600,5.3,5.4,5.2,Shefford,Quebec,Andréanne,Larouche,Bloc Québécois
110,Sherbrooke,43.3,41.4,45.1,1,116845,37.3,37.6,37,85.5,0.9,35600,38400,33200,6.9,7,6.9,Sherbrooke,Quebec,Élisabeth,Brière,Liberal
305,Sherwood Park--Fort Saskatchewan,40.5,39.7,41.2,0.4,126315,41.4,40.3,42.4,1.7,3.1,54000,70500,42800,9.5,9.5,9.5,Sherwood Park—Fort Saskatchewan,Alberta,Garnett,Genuis,Conservative
215,Simcoe--Grey,45.5,44.7,46.4,0.8,107835,48.1,50.7,45.6,2,4.5,42400,49600,36800,11.4,9.7,13.3,Simcoe North,Ontario,Adam,Chambers,Conservative
216,Simcoe North,46.7,45.5,47.8,0.5,112025,49.5,52,47.2,2.8,4.9,38400,42400,35200,13,12.5,13.6,Simcoe—Grey,Ontario,Terry,Dowdall,Conservative
338,Similkameen--South Okanagan--West Kootenay,49.5,48.6,50.4,1.4,111285,48,48,48.1,1.7,4.8,37200,42800,33200,9,9.5,8.5,Similkameen—South Okanagan—West Kootenay,British Columbia,Helena,Konanz,Conservative
339,Skeena--Bulkley Valley,41.1,40.8,41.3,1.4,89690,55.5,55.6,55.4,1.3,6.3,41200,48800,35600,10,11.1,8.6,Skeena—Bulkley Valley,British Columbia,Ellis,Ross,Conservative
267,Souris--Moose Mountain,41.4,40.8,42,0.5,75205,57.4,62.4,52.2,1.3,7.1,43200,52000,36400,6.3,6.6,6,Souris—Moose Mountain,Saskatchewan,Steven,Bonk,Conservative
25,South Shore--St. Margarets,48.6,47.7,49.4,0.2,79130,48.8,52,45.7,1.2,5.8,34800,41600,30000,11.9,11.1,12.8,South Shore—St. Margarets,Nova Scotia,Jessica,Fancy,Liberal
340,South Surrey--White Rock,45.7,44.3,47,0.4,118280,38.7,39.1,38.2,0.9,10.2,44000,53200,38000,8.1,7.7,8.5,South Surrey—White Rock,British Columbia,Ernie,Klassen,Liberal
217,Spadina--Harbourfront,35.6,35.7,35.6,4.3,105745,14.6,15.9,13.4,2.4,10,63200,71000,56800,9,8.1,10,Spadina—Harbourfront,Ontario,Chi,Nguyen,Liberal
306,St. Albert--Sturgeon River,41.1,40.3,41.8,0.5,121310,43.6,44.1,43,2.8,5.7,51200,65500,41600,9.6,9.2,9.9,St. Albert—Sturgeon River,Alberta,Michael,Cooper,Conservative
248,St. Boniface--St. Vital,41.5,40.3,42.6,1.4,99975,42,44.2,40,9.7,4.2,43600,48400,39600,8.5,8.2,8.8,St. Boniface—St. Vital,Manitoba,Ginette,Lavack,Liberal
218,St. Catharines,44.8,43.3,46.1,0.9,119870,47.1,48,46.2,1.8,5.3,37600,42000,34400,15.8,14.8,17,St. Catharines,Ontario,Chris,Bittle,Liberal
8,St. John's East,42.1,40.9,43.3,0.3,84965,36.7,38.7,34.7,0.7,3.7,41200,44800,38800,10.9,12.6,9,St. John's East,Newfoundland and Labrador,Joanne,Thompson,Liberal
219,Stormont--Dundas--Glengarry,44.9,44,45.9,0.6,114640,51.9,54,49.7,18.6,3.1,39200,44000,35200,9.5,8.3,10.7,Stormont—Dundas—Glengarry,Ontario,Eric,Duncan,Conservative
220,Sudbury,43.1,41.7,44.4,0.5,114380,43.3,44.4,42.4,16.9,3,43600,49200,39200,11.1,10.5,11.7,Sudbury,Ontario,Viviane,Lapointe,Liberal
221,Sudbury East--Manitoulin--Nickel Belt,44.6,44,45.2,0.4,99835,48.3,49.8,46.9,31,4.2,42400,50000,36000,9.5,9.4,9.6,Sudbury East—Manitoulin—Nickel Belt,Ontario,Jim,Bélanger,Conservative
341,Surrey Centre,38.4,37.9,38.9,0.3,119730,52.3,53.8,50.8,0.5,13.3,34400,38000,31400,9.5,8.9,10.3,Surrey Centre,British Columbia,Randeep,Sarai,Liberal
342,Surrey Newton,37.6,36.9,38.4,0.2,119560,55.1,56.7,53.5,0.3,11.2,34400,38400,31000,9.1,7.9,10.6,Surrey Newton,British Columbia,Sukh,Dhaliwal,Liberal
268,Swift Current--Grasslands--Kindersley,42.7,42,43.4,0.5,75680,53.3,58.6,47.9,1,8.3,42000,48000,37200,5.4,5.5,5.3,Swift Current—Grasslands—Kindersley,Saskatchewan,Jeremy,Patzer,Conservative
26,Sydney--Glace Bay,46.4,44.9,47.8,0.2,82330,48.1,49,47.3,0.7,4.5,33600,35200,32400,19.4,22.5,16.4,Sydney—Glace Bay,Nova Scotia,Mike,Kelloway,Liberal
222,Taiaiako'n--Parkdale--High Park,41.1,40.3,41.9,5.7,117900,31.2,33.6,29,1.8,8.2,46000,48800,44000,13,12.5,13.5,Taiaiako'n—Parkdale—High Park,Ontario,Karim,Bardeesy,Liberal
9,Terra Nova--The Peninsulas,49.9,49.4,50.5,0.1,76110,56.6,53.6,59.4,0.2,4.7,31800,37600,27400,20.3,23.7,16.6,Terra Nova—The Peninsulas,Newfoundland and Labrador,Jonathan,Rowe,Conservative
111,Terrebonne,40.1,39.4,40.8,0.4,113795,42.1,43.2,41,84.2,1.6,45600,51200,40400,5.9,6.1,5.8,Terrebonne,Quebec,Tatiana,Auguste,Liberal
112,Thérèse-De Blainville,41.4,40.4,42.2,0.8,112160,37.9,38.8,37,82.6,1.7,46000,52800,40800,6.3,6.2,6.4,Thérèse-De Blainville,Quebec,Madeleine,Chenette,Liberal
223,Thornhill,42.4,41.4,43.5,0.4,124870,31.9,32.4,31.4,0.8,11.8,40400,44400,38000,13,11.6,14.4,Thornhill,Ontario,Melissa,Lantsman,Conservative
224,Thunder Bay--Rainy River,43.6,42.8,44.5,1,82360,48.1,49,47.2,1.6,4.2,42800,49200,38000,10.5,10.5,10.5,Thunder Bay—Rainy River,Ontario,Marcus,Powlowski,Liberal
225,Thunder Bay--Superior North,43.4,42.5,44.3,0.8,86145,45.9,47,44.9,3.6,4.7,42800,47600,38800,10.7,10.8,10.7,Thunder Bay—Superior North,Ontario,Patty,Hajdu,Liberal
37,Tobique--Mactaquac,44.3,43.8,44.9,0.1,64530,52.2,54.8,49.7,4.1,5,36800,40800,32800,9.4,10.4,8.1,Tobique—Mactaquac,New Brunswick,Richard,Bragdon,Conservative
227,Toronto Centre,39.7,40,39.3,5.8,121700,26.9,27.4,26.3,2.6,11.1,42000,44800,39200,14.6,14.3,15.1,Toronto Centre,Ontario,Evan,Solomon,Liberal
228,Toronto--Danforth,41.3,40.6,42.1,6.2,105470,34.6,36.9,32.5,1.9,7.9,45600,48000,43600,12.5,12.9,12.2,Toronto—Danforth,Ontario,Julie,Dabrusin,Liberal
226,Toronto--St. Paul's,43.3,41.7,44.7,3.1,125435,24,25.3,22.9,1.8,7.3,53200,59200,49200,10.6,10.1,11.1,Toronto—St. Paul's,Ontario,Leslie,Church,Liberal
113,Trois-Rivières,46.4,44.6,48.1,0.8,114065,39.7,38.7,40.6,93.3,0.9,37200,42000,33200,7.2,8,6.4,Trois-Rivières,Quebec,Caroline,Desrochers,Liberal
229,University--Rosedale,41.6,40.7,42.3,8,123815,27.3,28,26.6,2.1,11.9,43600,46800,41200,13.4,12.8,14,University—Rosedale,Ontario,,,
343,Vancouver Centre,41.8,42.1,41.5,4.5,115965,21.8,23.8,19.7,2.4,13.7,49200,55200,44000,8.5,7.9,9.1,Vancouver Centre,British Columbia,Hedy,Fry,Liberal
344,Vancouver East,41.8,41.7,42,8.6,118675,38.5,40.7,36.3,1.7,11.2,40400,42400,38800,9.7,10,9.5,Vancouver East,British Columbia,Jenny,Kwan,NDP
345,Vancouver Fraserview--South Burnaby,42.7,41.3,44,1.2,117485,43.3,44.2,42.5,0.6,11.1,36800,40000,34000,9.9,9.4,10.4,Vancouver Fraserview—South Burnaby,British Columbia,Gregor,Robertson,Liberal
346,Vancouver Granville,42.5,41.3,43.6,6.2,116795,27.9,29.3,26.6,1.7,10.4,46400,50000,43600,7.8,7.9,7.6,Vancouver Granville,British Columbia,Taleeb,Noormohamed,Liberal
347,Vancouver Kingsway,41.7,40.6,42.7,3.5,116495,44.5,45.8,43.3,0.8,11.4,37200,40000,34800,9.4,9,9.9,Vancouver Kingsway,British Columbia,Don,Davies,NDP
348,Vancouver Quadra,41.8,40.8,42.8,7.5,114785,27.3,28.6,26.2,1.6,10.3,43600,49200,40000,9.1,9,9.2,Vancouver Quadra,British Columbia,Wade,Grant,Liberal
114,Vaudreuil,41.1,40.2,41.8,0.7,120655,38.6,40,37.3,49.2,1.9,45600,51200,40800,6.9,7,6.9,Vaudreuil,Quebec,Peter,Schiefke,Liberal
230,Vaughan--Woodbridge,41.5,40.6,42.4,0.2,121705,46.8,46.4,47.2,0.4,7.2,42800,49200,38000,12.6,10.5,14.9,Vaughan—Woodbridge,Ontario,Michael,Guglielmin,Conservative
349,Vernon--Lake Country--Monashee,46.6,45.8,47.4,1.2,108625,47.4,48.4,46.4,1.4,5.1,39200,46000,34400,8.8,9.1,8.6,Vernon—Lake Country—Monashee,British Columbia,Scott,Anderson,Conservative
350,Victoria,45.7,44.5,46.8,9.4,123485,31.6,33.7,29.6,1.7,7.4,44400,48000,41600,8.1,8.3,7.8,Victoria,British Columbia,Will,Greaves,Liberal
115,Ville-Marie--Le Sud-Ouest--Île-des-Sœurs,38.8,38.2,39.4,3,114370,23.7,23.3,24.1,36.1,3.9,38800,42000,36000,11.7,11.1,12.3,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Quebec,Marc,Miller,Liberal
116,Vimy,42.9,41.5,44.2,0.7,108770,41.5,41.4,41.6,47.7,2.8,36400,39200,34000,10.3,10.4,10.2,Vimy,Quebec,Annie,Koutrakis,Liberal
231,Waterloo,39.2,37.9,40.5,1.3,121435,35.4,35.5,35.2,0.9,4,41600,47200,36800,12,10.3,13.9,Waterloo,Ontario,Bardish,Chagger,Liberal
232,Wellington--Halton Hills North,41.8,41.1,42.6,0.5,105115,41.9,43,40.9,1.1,3.5,48000,56800,41200,8.5,7.4,9.9,Wellington—Halton Hills North,Ontario,Michael,Chong,Conservative
351,West Vancouver--Sunshine Coast--Sea to Sky Country,44.1,43.3,44.9,3.4,114260,35.6,37.1,34.2,2.3,7.4,44400,50800,39600,9,9.2,8.8,West Vancouver—Sunshine Coast—Sea to Sky Country,British Columbia,Patrick,Weiler,Liberal
233,Whitby,40.2,39.1,41.1,0.3,115250,40,41.7,38.4,1.3,4.8,46400,54000,40800,12.7,12,13.4,Whitby,Ontario,Ryan,Turnbull,Liberal
234,Willowdale,42.4,40.9,43.6,0.5,118220,27.3,28,26.7,0.7,15.7,37200,40000,34800,12.7,11.9,13.5,Willowdale,Ontario,Ali,Ehsassi,Liberal
235,Windsor West,40.3,39.2,41.3,1,130165,48.6,47.9,49.3,1.5,4.5,34000,37600,31400,18.5,18.1,19,Windsor West,Ontario,Harb,Gill,Conservative
236,Windsor--Tecumseh--Lakeshore,43.2,41.9,44.4,0.5,130960,49,50,48,2.6,3.6,40800,46400,36400,17.8,17.9,17.7,Windsor—Tecumseh—Lakeshore,Ontario,Kathy,Borrelli,Conservative
250,Winnipeg Centre,38.1,37.6,38.6,2.9,96850,51.5,53.9,49,1.5,7.6,32800,34000,31800,11.5,12,11,Winnipeg Centre,Manitoba,Leah,Gazan,NDP
251,Winnipeg North,37.7,36.5,38.8,0.4,95180,50,52.8,47.2,0.4,5.6,35600,37600,33600,9.2,8.8,9.6,Winnipeg North,Manitoba,Kevin,Lamoureux,Liberal
252,Winnipeg South,37.5,36.5,38.6,0.6,99795,37.7,38.6,36.9,3.5,4.9,38400,42800,35600,8.9,9,8.8,Winnipeg South,Manitoba,Terry,Duguid,Liberal
253,Winnipeg South Centre,42.6,41.1,44,2.5,95885,34.5,36.3,32.7,1.8,4.5,43600,47600,40000,8.1,8,8.2,Winnipeg South Centre,Manitoba,Ben,Carr,Liberal
254,Winnipeg West,44,42.5,45.4,1.1,94075,42.7,44.4,41,1.6,3.4,46800,53600,41200,7.6,7.9,7.3,Winnipeg West,Manitoba,Doug,Eyolfson,Liberal
307,Yellowhead,41.2,41,41.4,2.4,115055,44.9,46.1,43.5,2.8,5.5,45600,58000,37600,11.1,11.7,10.4,Yellowhead,Alberta,William,Stevenson,Conservative
238,York--Durham,43.9,43,44.8,0.2,116560,46.8,48,45.7,0.9,7.4,44000,51200,38400,9.6,8.7,10.6,York Centre,Ontario,Roman,Baber,Conservative
237,York Centre,41.9,40.5,43.2,0.5,108305,41.9,45,39.2,0.7,11.6,36400,38800,34800,14.1,12.8,15.5,York South—Weston—Etobicoke,Ontario,Ahmed,Hussen,Liberal
239,York South--Weston--Etobicoke,41.7,40.1,43.1,0.5,111335,54.3,56.3,52.6,0.7,11.6,34800,36800,33200,16.3,14.8,17.8,York—Durham,Ontario,Jacob,Mantle,Conservative
269,Yorkton--Melville,44.2,43.5,45,0.5,73190,58.5,62.5,54.3,0.7,8.1,38400,44400,33600,7,7.4,6.4,Yorkton—Melville,Saskatchewan,Cathay,Wagantall,Conservative
353,Yukon,39.9,39.9,40,2.4,40235,40.4,44,36.8,4.5,8,54800,56400,53600,6.9,7.4,6.3,Yukon,Yukon,Brendan,Hanley,Liberal
